CountyFIPS,County,CNTY,VTD,CNTYVTD,VTDKEY,total,anglo,nanglo,asian,black,hisp,bh,vap,anglovap,nanglovap,asianvap,blackvap,hispvap,bhvap
215,HIDALGO,215,0025,2150025,5577,6485,738,5747,60,48,5649,5667,4567,694,3873,39,20,3812,3823
245,JEFFERSON,245,0004,2450004,6032,2135,1510,625,65,332,211,532,1676,1226,450,44,248,137,380
273,KLEBERG,273,0021,2730021,6327,2790,786,2004,77,123,1798,1900,2109,656,1453,67,87,1280,1357
277,LAMAR,277,004GA,277004GA,6364,1165,930,235,24,30,85,113,920,773,147,20,20,40,59
303,LUBBOCK,303,0063,3030063,6573,424,203,221,1,17,200,217,294,151,143,0,10,129,139
85,COLLIN,85,0075,850075,1704,3567,2076,1491,701,310,421,718,3025,1850,1175,558,253,321,564
113,DALLAS,113,2040,1132040,2245,2236,1885,351,81,38,187,216,1628,1408,220,52,22,115,131
113,DALLAS,113,1055,1131055,2036,2542,245,2297,50,145,2082,2224,1829,234,1595,40,100,1439,1537
113,DALLAS,113,32C1,11332C1,2577,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,HARRIS,201,0818,2010818,5036,1734,389,1345,25,481,860,1320,1325,382,943,12,356,575,923
201,HARRIS,201,1027,2011027,5245,1065,410,655,20,173,452,609,713,307,406,18,117,252,368
1,ANDERSON,1,0023,10023,21,1689,1461,228,5,68,98,166,1395,1236,159,4,45,67,112
29,BEXAR,29,3162,293162,768,4881,1966,2915,417,406,2052,2416,4217,1816,2401,326,336,1698,2013
51,BURLESON,51,0410,510410,1349,2590,1900,690,25,216,327,538,2198,1682,516,17,154,240,391
53,BURNET,53,0006,530006,1355,717,624,93,8,10,61,70,603,537,66,6,8,38,46
77,CLAY,77,0011,770011,1604,1206,1042,164,8,5,111,115,976,864,112,4,3,68,71
113,DALLAS,113,4021,1134021,2683,4129,1738,2391,263,548,1538,2048,3683,1687,1996,233,476,1236,1682
471,WALKER,471,0405,4710405,9175,142,93,49,3,15,25,40,114,75,39,3,11,19,30
491,WILLIAMSON,491,0411,4910411,9513,5233,2477,2756,61,146,2492,2600,3755,2034,1721,40,92,1525,1605
301,LOVING,301,0001,3010001,6513,28,23,5,1,1,1,1,17,15,2,0,0,0,0
361,ORANGE,361,0005,3610005,7260,2354,984,1370,26,1133,182,1310,1855,833,1022,22,840,134,970
401,RUSK,401,0213,4010213,7598,2830,1996,834,20,363,352,708,2185,1625,560,13,264,203,465
437,SWISHER,437,0011,4370011,7841,500,250,250,9,24,211,233,392,216,176,6,18,146,163
439,TARRANT,439,1010,4391010,7847,1424,271,1153,19,423,704,1109,1087,242,845,12,337,478,805
453,TRAVIS,453,0384,4530384,8926,5701,2991,2710,1994,144,487,606,4245,2403,1842,1333,110,333,422
121,DENTON,121,1008,1211008,2932,5846,3598,2248,53,274,1673,1926,4464,2972,1492,39,167,1098,1258
201,HARRIS,201,0381,2010381,4598,7710,399,7311,160,1375,5876,7130,5005,312,4693,129,947,3642,4542
201,HARRIS,201,0132,2010132,4349,2885,37,2848,16,2320,543,2821,2234,31,2203,11,1881,330,2185
215,HIDALGO,215,0125,2150125,5677,2841,85,2756,16,21,2729,2740,1953,69,1884,15,10,1867,1871
227,HOWARD,227,034A,227034A,5926,49,38,11,0,2,8,10,34,27,7,0,0,6,6
227,HOWARD,227,208C,227208C,5932,225,162,63,2,4,51,55,156,121,35,1,1,27,28
15,AUSTIN,15,0412,150412,127,908,509,399,12,161,213,369,721,426,295,7,128,146,271
